Nr;Art;Mag;KBN;Nazwa art. 1;Nr fabr;Nazwa art. 2;L/B;StanDost;Wart;OstRez;Dz;Dost;NrProc;Suf;Poz;TOK;CDS;MA Erf.;
854;5;130;ZOOZWZPW1SZ;ZESTAW NATRYSKOWY ZOO 1 S Z UCHWYTEM;ZOOSFMKWOPG;Z PRZYŁĄCZEM WĘŻA ZŁOTO;B;2.000;;1170111;S;VACH01;14274368;1;6000;STF;SCF;03680;
855;5;130;WGSWSPNPZ;SYFON WANNOWY DO MODELI SPEC. Z NAPEŁ;WG61552EPG;PRZEZ PRZELEW ZŁOTO;B;1.000;;1170111;S;VACH01;14274368;1;7000;STF;SCF;03680;
856;5;130;GEPET457575;TRÓJNIK HDPE 45° 75x 75;365125161;.;L;1.000;;1170117;I;GEWA01;14277278;1;11000;STC;SCC;03510;
857;5;130;GEPERE7556;REDUKCJA HDPE MIMOŚRODOWA  75x 56;365566161;.;L;1.000;;1170117;I;GEWA01;14277278;1;12000;STC;SCC;03510;
858;5;130;GEPET459040;TRÓJNIK HDPE 45° 90x 40;366109161;.;L;1.000;;1170117;I;GEWA01;14277278;1;16000;STC;SCC;03510;
859;5;130;GEPET4511040;TRÓJNIK HDPE 45° 110x 40;367109161;.;B;1.000;;1170117;I;GEWA01;14277278;1;19000;STC;SCC;03510;
860;5;130;GEPET4511056;TRÓJNIK HDPE 45° 110x 56;367115161;.;B;1.000;;1170117;I;GEWA01;14277278;1;20000;STC;SCC;03510;
861;5;130;GEPET4511063;TRÓJNIK HDPE 45° 110x 63;367120161;.;B;1.000;;1170117;I;GEWA01;14277278;1;21000;STC;SCC;03510;
862;5;130;GEPERW90110;REWIZJA HDPE 90° 110x110 CZYSZCZAK;367451161;.;B;1.000;;1170117;I;GEWA01;14277278;1;22000;STC;SCC;03510;
863;5;130;F76S040AA;FILTR DO WODY F76S 6/4" 100UM;F76S112AA;PŁUKANIE WSTECZNE;B;1.000;;1170119;U;HOWA01;14280653;1;1000;SXE;SCE;03513;
864;5;130;F76S050AA;FILTR DO WODY F76S 2"    100UM;F76S2AA;PŁUKANIE WSTECZNE;B;1.000;;1170119;U;HOWA01;14280653;1;2000;SXE;SCE;03513;
